exercise_name,primary_muscle,secondary_muscle,body_part,type,equipment,difficulty
Push Up,Chest,Triceps,Upper Body,Strength,Bodyweight,Beginner
Squat,Quadriceps,Glutes,Lower Body,Strength,Barbell,Intermediate
Deadlift,Back,Hamstrings,Full Body,Strength,Barbell,Advanced
Lunges,Quadriceps,Glutes,Lower Body,Strength,Bodyweight,Beginner
Bicep Curl,Biceps,Forearms,Upper Body,Strength,Dumbbell,Beginner
Tricep Dips,Triceps,Shoulders,Upper Body,Strength,Bodyweight,Intermediate
Plank,Core,,Core,Stability,Bodyweight,Beginner
Bench Press,Chest,Triceps,Upper Body,Strength,Barbell,Advanced
Shoulder Press,Shoulders,Triceps,Upper Body,Strength,Dumbbell,Intermediate
Calf Raise,Calves,,Lower Body,Strength,Bodyweight,Beginner
Leg Press,Quadriceps,Hamstrings,Lower Body,Strength,Machine,Intermediate
Exercise 1,Calves,Forearms,Full Body,Strength,Barbell,Intermediate
Exercise 2,Chest,Obliques,Lower Body,Endurance,Barbell,Intermediate
Exercise 3,Glutes,Traps,Upper Body,Stability,Resistance Band,Advanced
Exercise 4,Chest,Lats,Lower Body,Strength,Dumbbell,Advanced
Exercise 5,Biceps,Hip Flexors,Lower Body,Flexibility,Bodyweight,Beginner
Exercise 6,Shoulders,Lower Back,Full Body,Flexibility,Barbell,Advanced
Exercise 7,Core,,Lower Body,Flexibility,Resistance Band,Intermediate
Exercise 8,Triceps,Hip Flexors,Core,Endurance,Machine,Intermediate
Exercise 9,Triceps,Forearms,Core,Flexibility,Resistance Band,Beginner
Exercise 10,Hamstrings,Lats,Upper Body,Flexibility,Dumbbell,Advanced
Exercise 11,Biceps,Forearms,Lower Body,Endurance,Bodyweight,Intermediate
Exercise 12,Back,Hip Flexors,Full Body,Flexibility,Bodyweight,Intermediate
Exercise 13,Back,Abs,Lower Body,Strength,Dumbbell,Intermediate
Exercise 14,Back,Obliques,Upper Body,Endurance,Bodyweight,Beginner
Exercise 15,Hamstrings,Forearms,Lower Body,Strength,Resistance Band,Advanced
Exercise 16,Chest,Lats,Lower Body,Endurance,Resistance Band,Advanced
Exercise 17,Core,Traps,Core,Flexibility,Bodyweight,Intermediate
Exercise 18,Shoulders,Neck,Full Body,Strength,Dumbbell,Intermediate
Exercise 19,Quadriceps,Obliques,Core,Endurance,Resistance Band,Advanced
Exercise 20,Triceps,Neck,Full Body,Endurance,Resistance Band,Intermediate
Exercise 21,Quadriceps,Obliques,Upper Body,Flexibility,Machine,Beginner
Exercise 22,Back,Hip Flexors,Core,Endurance,Dumbbell,Advanced
Exercise 23,Triceps,Obliques,Upper Body,Stability,Bodyweight,Beginner
Exercise 24,Glutes,,Upper Body,Flexibility,Bodyweight,Beginner
Exercise 25,Quadriceps,,Lower Body,Flexibility,Kettlebell,Advanced
Exercise 26,Core,Forearms,Core,Endurance,Kettlebell,Beginner
Exercise 27,Calves,Traps,Upper Body,Flexibility,Kettlebell,Advanced
Exercise 28,Triceps,,Core,Strength,Resistance Band,Intermediate
Exercise 29,Shoulders,Traps,Upper Body,Stability,Bodyweight,Beginner
Exercise 30,Core,Obliques,Lower Body,Endurance,Resistance Band,Intermediate
Exercise 31,Triceps,,Core,Stability,Bodyweight,Advanced
Exercise 32,Hamstrings,Forearms,Lower Body,Stability,Kettlebell,Beginner
Exercise 33,Core,Lats,Full Body,Stability,Dumbbell,Advanced
Exercise 34,Chest,Lats,Lower Body,Endurance,Resistance Band,Intermediate
Exercise 35,Quadriceps,Traps,Upper Body,Stability,Resistance Band,Beginner
Exercise 36,Shoulders,Hip Flexors,Upper Body,Strength,Dumbbell,Advanced
Exercise 37,Calves,Traps,Upper Body,Endurance,Bodyweight,Advanced
Exercise 38,Core,Forearms,Upper Body,Stability,Barbell,Advanced
Exercise 39,Hamstrings,Neck,Full Body,Strength,Machine,Intermediate
Exercise 40,Back,,Core,Endurance,Kettlebell,Advanced
Exercise 41,Hamstrings,Abs,Full Body,Strength,Bodyweight,Advanced
Exercise 42,Triceps,Lats,Full Body,Strength,Resistance Band,Advanced
Exercise 43,Triceps,Adductors,Lower Body,Flexibility,Kettlebell,Advanced
Exercise 44,Chest,Abs,Full Body,Flexibility,Barbell,Intermediate
Exercise 45,Chest,,Lower Body,Strength,Bodyweight,Advanced
Exercise 46,Calves,Adductors,Core,Endurance,Machine,Intermediate
Exercise 47,Chest,,Full Body,Strength,Dumbbell,Intermediate
Exercise 48,Back,Obliques,Lower Body,Strength,Bodyweight,Advanced
Exercise 49,Quadriceps,Lower Back,Full Body,Flexibility,Machine,Intermediate
Exercise 50,Shoulders,Obliques,Lower Body,Stability,Machine,Beginner
Exercise 51,Hamstrings,Adductors,Full Body,Flexibility,Barbell,Advanced
Exercise 52,Quadriceps,Hip Flexors,Lower Body,Strength,Kettlebell,Advanced
Exercise 53,Triceps,Lower Back,Full Body,Flexibility,Kettlebell,Intermediate
Exercise 54,Biceps,Traps,Core,Strength,Machine,Beginner
Exercise 55,Quadriceps,Lats,Upper Body,Strength,Barbell,Beginner
Exercise 56,Hamstrings,Neck,Upper Body,Stability,Kettlebell,Advanced
Exercise 57,Triceps,Abs,Core,Flexibility,Dumbbell,Beginner
Exercise 58,Calves,Abs,Upper Body,Flexibility,Machine,Advanced
Exercise 59,Shoulders,Obliques,Core,Flexibility,Machine,Intermediate
Exercise 60,Back,Lats,Upper Body,Stability,Bodyweight,Beginner
Exercise 61,Hamstrings,,Full Body,Flexibility,Dumbbell,Beginner
Exercise 62,Quadriceps,Lats,Full Body,Strength,Resistance Band,Intermediate
Exercise 63,Shoulders,,Lower Body,Strength,Bodyweight,Advanced
Exercise 64,Calves,Neck,Upper Body,Flexibility,Machine,Beginner
Exercise 65,Back,Lower Back,Core,Flexibility,Bodyweight,Intermediate
Exercise 66,Hamstrings,Forearms,Core,Stability,Resistance Band,Advanced
Exercise 67,Triceps,Forearms,Lower Body,Stability,Kettlebell,Beginner
Exercise 68,Biceps,Hip Flexors,Upper Body,Strength,Resistance Band,Advanced
Exercise 69,Shoulders,Lower Back,Lower Body,Endurance,Barbell,Advanced
Exercise 70,Quadriceps,Forearms,Lower Body,Endurance,Barbell,Beginner
Exercise 71,Core,Hip Flexors,Full Body,Stability,Resistance Band,Beginner
Exercise 72,Chest,Traps,Core,Flexibility,Dumbbell,Intermediate
Exercise 73,Triceps,Obliques,Core,Strength,Bodyweight,Intermediate
Exercise 74,Glutes,Lower Back,Full Body,Stability,Kettlebell,Advanced
Exercise 75,Quadriceps,Obliques,Lower Body,Flexibility,Resistance Band,Beginner
Exercise 76,Calves,Traps,Full Body,Endurance,Bodyweight,Beginner
Exercise 77,Hamstrings,Traps,Lower Body,Strength,Bodyweight,Advanced
